cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
46851829589,ichaasmj,Irus jagung kecil,erus Irus motif jagung kecil kuah sayur sendok sayutr satinless steel murah berkualitas,5,,2025-06-06 12:40:39
46851824304,nhh8x66lbs,Tempat sendok moly,Tempat sendok alat tulis gandeng moly coklat grosir,5,,2025-06-06 12:40:25
46851689372,miyayayaya23,TPB BONITA KECIL,Tempat bumbu plastik bonita kitchen set + sendok bisa di tempel dinding,5,,2025-06-06 12:27:37
46851638971,innitial27,"Krj Nebula coklat L,Isi 1 pcs",Keranjang hajatan kecil nebula capucino plus tentengan serbaguna,5,,2025-06-06 12:22:53
46851590438,hanny87,"Cangkir enamel 6cm,Lurik",Cangkir mug enamel lurik dan polos ukuran 6 cm per 1 pcs,5,Desain:menarik. Durabilitas:jos. Ok baik,2025-06-06 12:18:08
46851574990,082_134_823_918,Basi paprika bulat,Basi bulat prasmanan paprika plus tutup grosir,5,"Ukuran:kecil. Desain:menarik. Kualitas Bahan:lumayan tebalnya. Bahan lumayan, ternyata ukuran agak kecil",2025-06-06 12:16:37
46851516550,muliazinvinzis,12bj Sendok biasa,Sendok makan stainless berat 15 gram grosir per 1 lusin (12pcs),5,,2025-06-06 12:11:02
46851516548,muliazinvinzis,12bj_solet besar,(12pcs) Solet jumbo smile plastik serbaguna tebal - solet kue murah,5,,2025-06-06 12:11:02
46851516546,muliazinvinzis,Erus DoLL,Erus kuah stainless doll - centong sayur bulet grosir,5,,2025-06-06 12:11:02
46851516545,muliazinvinzis,12bj_candypelangi,12bj centong makan nasi kh rainbow plastik tebal warna cerah dx,5,,2025-06-06 12:11:02
46851516543,muliazinvinzis,Irus jagung kecil,erus Irus motif jagung kecil kuah sayur sendok sayutr satinless steel murah berkualitas,5,,2025-06-06 12:11:02
46851516542,muliazinvinzis,12bj_ttp gelas biasa,(12 pcs) Tutup gelas biasa bahan plastik murah grosir berkualitas,5,,2025-06-06 12:11:02
46851516540,muliazinvinzis,12bj solet kecil,(12pcs) Solet pelet kue plastik Nice spatula murah serbaguna grosir,5,,2025-06-06 12:11:02
46851516539,muliazinvinzis,12bj garpu,(12 pcs) Garpu makan stainless steel murah grosir,5,,2025-06-06 12:11:02
46851484064,muhammadsaifudin817,Perasan jeruk biasa,Perasan jeruk ipp plastik bening dx grosir - perasan jeruk tangan,3,,2025-06-06 12:07:57
46851463511,peshekpermanentketcilik,Kipas bunga rotan,kipas tangan plastik karakter waru murah warna warni,5,,2025-06-06 12:06:01
46851378875,mochammaddidin,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,1,,2025-06-06 11:58:17
46851371143,aryadewanto25,Sealpack 1500ML Wkp,Tepak sealpack toples bulat 1500ml serbaguna coklat plastik,4,,2025-06-06 11:57:33
46851322061,rarabunga17,Tempat sendok moly,Tempat sendok alat tulis gandeng moly coklat grosir,5,,2025-06-06 11:52:57
46851322058,rarabunga17,Sendok floren,Sendok es teh plastik panjang Florence dx warna cerah per 1 lusin,5,,2025-06-06 11:52:57
46851322056,rarabunga17,Mangkok sambal tutup,Mangko sambal bakso tutup panda star plus sendok bulat oval plastik,5,,2025-06-06 11:52:57
46851322053,rarabunga17,Peelr double jingpin,Peeler buah double 2 sisi plastik serbaguna murah,5,,2025-06-06 11:52:57
46851322051,rarabunga17,12bj lap kecil,(12bj) lap serbet dapur polos motif kotak kotak serbaguna grosir,5,,2025-06-06 11:52:57
46851322049,rarabunga17,12bj garpu,(12 pcs) Garpu makan stainless steel murah grosir,5,,2025-06-06 11:52:57
46851297705,seraaselole,12Bj jasmine besar,(12bj) Cetakan bunga jasmine plastik 7 cm kukus puding bolu per lusin,5,,2025-06-06 11:50:39
46851194441,claudiagabrellam,1pak lilin cakra,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,4,,2025-06-06 11:41:02
46851194439,c*****m,12bj Lap_warna,(12 pcs) lap serbet dapur warna warni besar tebal kotak kotak 51x51 cm - grosir lap dapur warna,3,,2025-06-06 11:41:02
46851053240,ranivino417,Eskan bening,Eskan plastik BHL juice holder ceret minum bening tutup warna berkualitas tak berbau,4,,2025-06-06 11:27:38
46850365299,172vactjvu,Tempat sabn SOS,Tempat sabun LS + sikat gigi plastik - tempat sabun sos tempel tembok,5,,2025-06-06 11:18:29
46850216521,rinfeb02,Gelas cucuk asa,Cangkir gelas cucuk asa anak kecil plastik grosir,5,,2025-06-06 11:17:10
46847833516,abdurrofikcell,12bj solet kecil,(12pcs) Solet pelet kue plastik Nice spatula murah serbaguna grosir,5,,2025-06-06 10:55:34
46847733221,k*****k,Eskan utsuri,Eskan minum segi utsuri alexis plastik tidak bau grosir,2,,2025-06-06 10:54:44
46846191306,qe52n5jyxo,12BJ Ws dora kaz oy,(12bj) Waskom hajatan dora - Waskom berkatan lusinan grosir,5,,2025-06-06 10:41:54
46846191284,qe52n5jyxo,"Kersek tobys,Biru",Kresek motif smile thank you per pack isi 50 lembar size 28 - kresek warna murah,5,,2025-06-06 10:41:54
46844515349,sitinurlatifah548,"Piring seng lurik,22cm Besar",Piring seng enamel lurik ukuran 22 cm besar tebal merk TB,5,,2025-06-06 10:27:08
46843084478,4nvktwyffp,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,4,,2025-06-06 10:14:52
46843084476,4nvktwyffp,TA-265 Tanggung,Gunting estika stainless kemasan mika ukuran kecil tanggung besar,4,,2025-06-06 10:14:52
46843084474,4nvktwyffp,Cuwo mini,Pisau dapur cuwo mini - pisau serbaguna baja asli murah - pisau kecil,4,,2025-06-06 10:14:52
46843058200,nurfadi001,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-06 10:14:38
46837454393,rezacahya495,B.S. Yes1000ml,Botol saos kecap 1000ml atau 1 liter Yes tebal dan berkualitas,5,,2025-06-06 09:38:15
46837454367,rezacahya495,Nina_300ML,Botol saos nina 300 Ml plastik tutup warna warni grosir,5,Bgus,2025-06-06 09:38:15
46836629876,heni_suprayogi,T. R. Kaki 6,Tatakan kompor rinnai kaki 6 tebal halus original termurah,5,,2025-06-06 09:34:41
46835321083,wv2rx4v8ng,Mesin kompor umum,Magnet pemantik kompor gas umum - Mesin kompor gas multi murah,5,,2025-06-06 09:27:06
46833551467,xx1wgvlyw4,12bj T80,(12pcs) Gosok panci stainless cuci piring Merk VA-50 anti karat 18 gram,3,Ukuran:sesuai pesanan. Kegunaan:mencuci lantai bisa cepat bersih temasuk alat dapur. Kualitas:baagus. Gak kirim gambar soalnya dah di serahkan kpda pembeli 🙏,2025-06-06 09:19:22
46831171701,faibungsu23,24bks peniti putih,(24bks) Peniti putih rentengan semua ukuran murah grosir,5,Potensi Pasar:ok. Desain:ok. Kualitas:lumayan. Alhamdulillah barang sudah diterima dengan baik dan benar sesuai dengan gambar tp kyna isinya sedikit amat ya,2025-06-06 09:08:27
46825812962,midaida788,Sealpack 1500ML Wkp,Tepak sealpack toples bulat 1500ml serbaguna coklat plastik,5,,2025-06-06 08:44:33
46824071723,jumrotenaini180,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,Sesuai barang,2025-06-06 08:37:16
46817837326,m*****2,Termos ekonomis 8L,Termos Capucino 6L dan 8L - Rice Ice bucket ekomonis grosir,5,,2025-06-06 08:11:27
46817687832,98naac1m9k,Sealpack 1500ML Wkp,Tepak sealpack toples bulat 1500ml serbaguna coklat plastik,5,,2025-06-06 08:10:51
46814375037,yulitamuhfi,12Bj jasmine kecil,(12bj) Cetakan bunga jasmine plastik 7 cm kukus puding bolu per lusin,5,"Ukuran:sesuai. Warna:menarik. Ketebalan:tebal. Sesuai psanan,packing bagus banget,,dijamin gag bakalan pecah sampai k tangan konsumen..",2025-06-06 07:57:18
46813735288,nauraasiylasanum,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-06 07:54:27
46813566219,official_syara,12bj T80,(12pcs) Gosok panci stainless cuci piring Merk VA-50 anti karat 18 gram,5,Ukuran:sesuai gambar. Kegunaan:mencuci bahan stainless. Kualitas:sangat bagus. Puas banget harga terjangkau suka belanja disini dari pada dideket rumah mahal dapatnya kecil,2025-06-06 07:53:46
46813566195,official_syara,Meme club tinggi,Botol saos kecap memeclub tinggi 400 ml plastik grosir,5,Desain:ptaktis. Warna:sesuai gambar. Kualitas:memuaskan. Sukaaa dan harga terjangkau,2025-06-06 07:53:46
46813471030,nurulhasanah112,12bj solet kecil,(12pcs) Solet pelet kue plastik Nice spatula murah serbaguna grosir,4,,2025-06-06 07:53:25
46812853005,roesdy_irawan,Termos eknomis 6L,Termos Capucino 6L dan 8L - Rice Ice bucket ekomonis grosir,5,,2025-06-06 07:51:01
46812037323,anitanaura970,1pak lilin cakra,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,3,,2025-06-06 07:47:35
46810794696,rkm121028,"1 _bks isi staples,Biasa",isi staples e star No 10 kecil grosir termurah,5,Desain:baik. Makasih ya kak paketnya sudah sampai.... pengiriman juga lumayan cepat,2025-06-06 07:42:48
46810560829,rkm121028,10bks korek pelangi,(10bks) korek batang kayu jadul gambar grosir,5,Desain:sesuai. Makasih ya kak paketnya sudah sampai.... pengiriman juga lumayan cepat,2025-06-06 07:41:50
46810351407,rkm121028,Kuas 1inch,Kuas kue plastik tebal warna warni ukuran ½ inch dan 1½ inch grosir,5,Ketebalan:cukup puas. Ukuran:sesuai. Makasih ya kak paketnya sudah sampai.... pengiriman juga lumayan cepat,2025-06-06 07:40:51
46809905410,rkm121028,ESKAN IPP SUPER,"Eskan water jug 1,5 liter warna plastik - Ceret minum serbaguna murah",5,Ukuran:pas. Kualitas:baik. Makasih ya kak paketnya sudah sampai.... pengiriman juga lumayan cepat,2025-06-06 07:39:09
46807525358,5krneeu6t1,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-06 07:29:15
46804830703,izzasadewa206,"Capitan,Besar",Pencapit capitan kue minyak stainless steel murah termurah,5,,2025-06-06 07:18:15
46804406178,ragielmubarok,Tepak ompreng coklat,tepak kotak makan plastik 850 ml ompreng warna dengan 2 ruang murah berkuliatas,5,Good,2025-06-06 07:16:33
46803863085,imprutz027,1 METER,Tambal lem panci bocor serbaguna - lakban almunium foill,5,,2025-06-06 07:14:13
46803852024,imprutz027,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-06 07:14:10
46802482435,hartinisiti05,Basi sayur TTM,Basi sayur bulat TTM plastik warna capucinl plastik tebal,5,,2025-06-06 07:09:19
46798305312,y*****h,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-06 06:59:52
46797019101,hcgaming806,Eskn cklat indoprima,Eskan muk tutup mini coklat gambar motif plastik,5,,2025-06-06 06:57:01
46795172159,aniswati385,Termos ekonomis 8L,Termos Capucino 6L dan 8L - Rice Ice bucket ekomonis grosir,5,,2025-06-06 06:52:59
46792129799,zsp87ysv7y,12bj ctakn Melati,(12bj) cetakan puding jelly bunga melati kukus plastik warna dx rainbow,1,,2025-06-06 06:46:31
46789963742,hizah,Basi paprika bulat,Basi bulat prasmanan paprika plus tutup grosir,5,,2025-06-06 06:41:16
46789963732,hizah,"T. Sampah DMR,Isi 1 pcs",Keranjang sampah bulat DMR plastik kecil serbaguna grosir,5,,2025-06-06 06:41:16
46785730331,azqiakayla,Basi paprika bulat,Basi bulat prasmanan paprika plus tutup grosir,5,,2025-06-06 06:31:09
46778851529,ekobakso073,"Wakul ttp LOVE,Isi 6 pcs",(Isi 6pcs) Wakul berkatan hajatan love capucino + tentengan grosir sudah ada tutup,5,,2025-06-06 06:13:59
46773870833,mylovemaryani,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-06 06:02:21
46772405105,febidianpalupi,"Eskan 4,1 SEGI,Random","Eskan ceret segi 4,1 liter wapolin jumbo plastik",5,,2025-06-06 05:58:57
46769537097,lufiluf,Sealpack 1500ML Wkp,Tepak sealpack toples bulat 1500ml serbaguna coklat plastik,4,,2025-06-06 05:52:58
46764335983,supatmiati020,Erus DoLL,Erus kuah stainless doll - centong sayur bulet grosir,5,,2025-06-06 05:41:49
46760303393,15vina,12bj solet kecil,(12pcs) Solet pelet kue plastik Nice spatula murah serbaguna grosir,5,,2025-06-06 05:32:38
46760130893,abs8iij6d0,Perasan jeruk biasa,Perasan jeruk ipp plastik bening dx grosir - perasan jeruk tangan,4,,2025-06-06 05:32:07
46754754364,teddyabdul09,50bj kecil,Isi 50 pcs Korek api gas kecil SNI murah - korek grosir murah berkualitas,5,,2025-06-06 05:19:54
46731657056,ewt65qlwqz,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-06 04:28:35
46719743849,juy_pxmasp,Termos ekonomis 8L,Termos Capucino 6L dan 8L - Rice Ice bucket ekomonis grosir,5,,2025-06-06 04:01:09
46695114454,unyil.usrok,Basi segi brokoli,Basi prasmanan segi brokoli capucino plus tutup grosir,5,Bagus banget😍,2025-06-06 03:07:54
46669902812,prendik_adi10,Lusinan lem panci,Tambal lem panci bocor lakban aluminium foil kualitas super Per 24 pcs,5,,2025-06-06 02:21:57
46652435180,aw82jkyp84,"Keranjang surat sp,Tidak milih warna",Keranjang surat segi panjang super - Tempat alat tulis kantor grosir,5,Desain:bagus. Ukuran:pas dan sesuai deskripsi. Kualitas:lumayan. Tengkyu min.. barangnya berfungsi dengan baik,2025-06-06 01:48:32
46643372496,galihfirmansyah013,CORONG_9,Carat air ukuran 9 plastik corong minyak kecil serbaguna mini bahan plastik,5,,2025-06-06 01:26:15
46642082514,nesyaseptia_,Botol saos 500 nina,Botol saos kecap Nina 500 ML plastik grosir,5,,2025-06-06 01:23:16
46642082494,nesyaseptia_,"CETAKAN PASTEL,Besar",Cetakan pastel dumpling plastik BRL tebal mengkilap ukran besar kecil mini,5,,2025-06-06 01:23:16
46642082469,nesyaseptia_,1bj Lap_warna acak,(1 pcs) Lap serbet warna dapur kotak kotak tebal ukuran besar 51x51 cm - grosir lap termurah,5,,2025-06-06 01:23:16
46642082439,nesyaseptia_,Saringan 8CM Stnless,Saringan teh stainless  8 cm nikel - saringan bir minyak serbaguna,5,,2025-06-06 01:23:16
46642082408,nesyaseptia_,"Cetakan puding besar,Isi 1 pcs",cetakan puding jelly diameter 22 cm bahan plastik murah grosir,5,,2025-06-06 01:23:16
46642082375,nesyaseptia_,Kapstok jempol_6,kapstok baju stainless 6 kait - gantungan baju stainless muran,5,,2025-06-06 01:23:16
46642082334,nesyaseptia_,1 bj garpu,(1 pcs) Garpu makan stainless steel ecer - garpu murah berkualitas,5,,2025-06-06 01:23:16
46642082290,nesyaseptia_,Kocokan polkadot,Whisk polkadot alat pengocok telur stainless motif polkadot manual,5,,2025-06-06 01:23:16
46641274698,sikuskustini,1pak lilin cakra,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,5,Ukuran:ukuran pas dan sesuwe. Desain:lucu dan menarik. Kualitas:lili bebakaran yang kuat,2025-06-06 01:21:19
46632360907,aquariuscinul,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-06 00:59:29
46632360878,aquariuscinul,1bks peniti swan,(1bks) peniti swan putih bagus semua ukuran grosir,5,,2025-06-06 00:59:29
46621971901,vh1mw8qgjv,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,4,,2025-06-05 23:47:20
46621937688,fgl6vbuig0,6bj_gayung abu*,(6pcs) Gayung jumbo abu abu gayung mandi tebal plastik grosir,2,Barang datang ada yg pecah 1 pcs,2025-06-05 23:42:27
46621932647,uzairazar,24bj tambal bak,(24pcs) Tambal bak ember boncor kemasan renteng,5,Ukuran:pas. Potensi Pasar:cocok murah. Performa:bagus. bagus sesuai harapan bahan lumayan tebal makasih,2025-06-05 23:41:43
46621932646,uzairazar,Gelas bir plastik,Cangkir gelas minum plastik gmc gelas bir gagang grosir,5,Desain:lucu. Ketebalan:lumayan tebal. Kualitas:bagus. bagus sesuai harapan bahan lumayan tebal makasih,2025-06-05 23:41:43
46621932644,uzairazar,Hanger hitam,Hanger plastik hitam - hanger baju dewasa murah grosir per 6 pcs,5,Desain:lumayan. Ketebalan:tebal. Kualitas:bagus. bagus sesuai harapan bahan lumayan tebal makasih,2025-06-05 23:41:43
46621932643,uzairazar,CORONG_9,Carat air ukuran 9 plastik corong minyak kecil serbaguna mini bahan plastik,5,Ukuran:pas. Desain:bagus. Kualitas:baik lumayan. bagus sesuai harapan bahan lumayan tebal makasih,2025-06-05 23:41:43
46621909124,d*****a,1bj Merk T-30,(1pcs) Gosok stainless cuci piring anti karat 18 gram grosir,5,,2025-06-05 23:38:22
46621909122,d*****a,1bj ctkn Mawar bsr,"(1bj) cetakan puding jelly bentuk mawar 6,5 cm plastik warna dx rainbow",5,,2025-06-05 23:38:22
46621909121,d*****a,1BJ Putu ayu segi,(1pcs) cetakan putu ayu kotak segi plastik Warna cerah DX gread A berkualitas,5,,2025-06-05 23:38:22
46621909120,d*****a,1bj_Solet kecil,( 1 pcs ) Solet pelet dx nice kh plastik tebal murah grosir,5,,2025-06-05 23:38:22
46621909119,d*****a,1bj_Rose,(1 pcs) Tutup gelas plastik mahkota kualitas bagus warna warni murah grosir,5,,2025-06-05 23:38:22
46621909117,d*****a,1BJ Ctkn LOVE,(1pcs) cetakan roti kukus bentuk love rege plastik dx warna cerah,5,,2025-06-05 23:38:22
46621876149,nafisanurhikmah,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-05 23:33:38
46621777748,h4ru1rmmln,1bj ctkn Mawar bsr,"(1bj) cetakan puding jelly bentuk mawar 6,5 cm plastik warna dx rainbow",4,,2025-06-05 23:21:10
