product_name,product_url,time_text,variant_name,review_text
Kotak kancing panjang obat diansari pernak pernik 20½ x 9 x 4 cm tebal - Tempat pernak pernik obat mur baut grosirVariasi: Diansari panjang,/Kotak-kancing-panjang-obat-diansari-pernak-pernik-20½-x-9-x-4-cm-tebal-Tempat-pernak-pernik-obat-mur-baut-grosir-i.145589728.7734625607,2025-05-03 21:01,Variasi: Diansari panjang,Desain: baikUkuran: baikKualitas Bahan: baikSemoga cepat habis jualannya dan kembali membeli lagi ke toko ini. Terima kasih.
Celengan mini kakbah L10 P10 T15 cm - Celengan sovenir grosirVariasi: Celengan kakbah,/Celengan-mini-kakbah-L10-P10-T15-cm-Celengan-sovenir-grosir-i.145589728.28825756480,2025-05-03 20:49,Variasi: Celengan kakbah,Bagus
(10bks) korek batang kayu jadul gambar grosirVariasi: 10bks korek pelangi,/(10bks)-korek-batang-kayu-jadul-gambar-grosir-i.145589728.11483476549,2025-05-03 20:49,Variasi: 10bks korek pelangi,Bagus
tempat sendok garpu alat tulis 3 ruang HDR Plast kuat tempel tembokVariasi: 3ruang HDR,/tempat-sendok-garpu-alat-tulis-3-ruang-HDR-Plast-kuat-tempel-tembok-i.145589728.10242349357,2025-05-03 20:49,Variasi: 3ruang HDR,Bagus
"Cetakan pastel dumpling plastik BRL tebal mengkilap ukran besar kecil miniVariasi: CETAKAN PASTEL,Besar",/Cetakan-pastel-dumpling-plastik-BRL-tebal-mengkilap-ukran-besar-kecil-mini-i.145589728.7747739184,2025-05-03 20:49,"Variasi: CETAKAN PASTEL,Besar",Bagus
(12pcs) Pen bulpen Bolpenku pen lilit spiral gel murah drhop technologyVariasi: 12bj bulpenku,/(12pcs)-Pen-bulpen-Bolpenku-pen-lilit-spiral-gel-murah-drhop-technology-i.145589728.7516238456,2025-05-03 20:49,Variasi: 12bj bulpenku,Bagus
Cangkir gelas minum plastik gmc gelas bir gagang grosirVariasi: Gelas bir plastik,/Cangkir-gelas-minum-plastik-gmc-gelas-bir-gagang-grosir-i.145589728.5581664849,2025-05-03 20:49,Variasi: Gelas bir plastik,Bagus
Basi prasmanan segi brokoli capucino plus tutup grosirVariasi: Basi segi brokoli,/Basi-prasmanan-segi-brokoli-capucino-plus-tutup-grosir-i.145589728.28054688499,2025-05-03 20:46,Variasi: Basi segi brokoli,Ukuran: ghjDesain: biasa ajKualitas Bahan: jelkTDK amnh
"(isi 6pcs) Nampan loyang bulat kue sunrise 8500 plastik warna warniVariasi: Nmpn sunrise 8500,Isi 3 pcs",/(isi-6pcs)-Nampan-loyang-bulat-kue-sunrise-8500-plastik-warna-warni-i.145589728.25111821403,2025-05-03 20:46,"Variasi: Nmpn sunrise 8500,Isi 3 pcs","Desain: biasaKetebalan: biasaUkuran: biasaBarang yang dikirim tidak lengkap saya pesan nampan dan wakul buah ,yang datang cuma wakul buah ,nampan nya tidak dikirim , tidak amanah sekali.. tolong nampannya dikirim kak .
Respon penjual juga tidak pernah merespon selama chek out. ."
wakul buah pacific coklat plastik serbagunaVariasi: Wakul buah pacific,/wakul-buah-pacific-coklat-plastik-serbaguna-i.145589728.20153306191,2025-05-03 20:46,Variasi: Wakul buah pacific,Ukuran: bKondisi: bKualitas: bPalsuu
(12pcs) Gosok jaring jala hijau cuci piring 8D grosir termurahVariasi: Lusinan jaring_8D,/(12pcs)-Gosok-jaring-jala-hijau-cuci-piring-8D-grosir-termurah-i.145589728.5215724772,2025-05-03 20:30,Variasi: Lusinan jaring_8D,Kegunaan: gak nyerapKualitas Bahan: bukan benang tapi bekas saknya sayur
Termos Capucino 6L dan 8L - Rice Ice bucket ekomonis grosirVariasi: Termos eknomis 6L,/Termos-Capucino-6L-dan-8L-Rice-Ice-bucket-ekomonis-grosir-i.145589728.29500951143,2025-05-03 20:29,Variasi: Termos eknomis 6L,Ukuran: sesuaiDesain: sesuaiKondisi: baik
