cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
45316945783,mikefebriana,Perasan jeruk biasa,Perasan jeruk ipp plastik bening dx grosir - perasan jeruk tangan,5,,2025-05-30 16:02:16
45316945782,mikefebriana,"Plastik stainles,Isi 1 pcs",Panci susu stainless 16 cm - panci masak rebus air mie serbaguna murah,5,,2025-05-30 16:02:16
45316918185,wariardiansyah131,Termos ekonomis 8L,Termos Capucino 6L dan 8L - Rice Ice bucket ekomonis grosir,4,"Ukuran:pas. Desain:mungil. Kondisi:baik. Barang datang dg selamat , barang kecil mungil saya kira ukuran 8 besar ternyata kecil, tapi gak apalah yg penting gak cacat.",2025-05-30 16:00:02
45316823539,nursuciyati,TS vtr,Tempat surat segi panjang VTR tebal dx warna cerah,1,,2025-05-30 15:51:58
45316823538,nursuciyati,Gelas stand besar,gelas stand bunga plastik jumbo isi 8 dx tebal - tempat gelas bulat,1,,2025-05-30 15:51:58
45316823537,nursuciyati,Eskan fresia,Eskan fresia 3 liter plastik ceret minum bening motif bunga,1,,2025-05-30 15:51:58
45316823536,nursuciyati,Gentong tg,Celengan gentong plastik tanggung murah grosir,1,Saya pesan 4 yang datang 3. Kecewa banget,2025-05-30 15:51:58
45316778854,eelwywfizs,50bj kecil,Isi 50 pcs Korek api gas kecil SNI murah - korek grosir murah berkualitas,5,,2025-05-30 15:48:10
45316770086,d*****9,Rak segi Flower,Rak Mini segi susun 3 Flower - Rak bumbu kosmetik serbaguna,5,,2025-05-30 15:47:26
45316768494,n5iwv3rs31,Payung anak,Payung anak karkter murah diameter 64 cm - Payung anak grosir,1,"Kecewa bgt sumpah mana saya udah ngasih lebih ke  kurir'y,,,, pas di buka payung rusak yang saya dapet,,,,,  amanah dong kalau jualan,,,, jangan ngecewain pembeli kalau mau berkah toko'y",2025-05-30 15:47:17
45316730378,windindimaharani,"TS. Kicik 5L HITAM,Isi 1 pcs",Tong sampah segi kicik hitam 5 liter kecil persegi plastik tebal,5,,2025-05-30 15:44:04
45316697280,41ykuxqvf_,1pak lilin cakra,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,5,,2025-05-30 15:41:17
45316675601,gesimalang,12Bj jasmine besar,(12bj) Cetakan bunga jasmine plastik 7 cm kukus puding bolu per lusin,5,,2025-05-30 15:39:26
45316646129,siti.sunarni,1pak lilin cakra,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,5,"Ukuran:pas sesuai diskripsi. Desain:sederhana. Kualitas:bagus. Paket sdh diterima dng aman, sesuai dekrepsi pengiriman depan tk amanah",2025-05-30 15:36:59
45316640440,fariqohrania,Kotak T-KTK 500ML,kotak bumbu kecil 350 ml 500 ml T-KTK plastik - Kotak mini serbaguna transparant,4,,2025-05-30 15:36:30
45316524662,sadeperabot,12bj ctkn mawar Bsr,"(12bj) Cetakan bolu puding jelly mawar 6,5 cm grosir",5,,2025-05-30 15:26:40
45316514313,dfymiho0yd,"Tempat kue oval WKP,Isi 6 pcs",(Isi 6pcs) Tempat kue oval + tutup wkp serbaguna bahan plastik grosir,5,,2025-05-30 15:25:48
45316506064,d*****e,Piring seng besar,Piring makan seng jadul 22 cm kualitas import bahan enamel kembang cat halus tebal - pirng seng murah grosir,5,"Pengiriman ke jakarta lumayan lama.. Pas di buka ada 2 piring yang sompel dan 1 piring yang noda kuning, udah di tes cuci tapi  noda kuning ga hilang, fix noda karatan.. Belinya emang lagi flash sale sih, tpi ya masa di kasihnya barang sompel dan karat, walaupun cuma 1 tapi nyesek juga. Mana nunggunya lumayan lama :(",2025-05-30 15:25:06
45316482089,niewey,Galon pikko,botol air minum pikko jumbo model galon BPA FREE 1 Liter,5,,2025-05-30 15:23:04
45316482088,niewey,Jebakan tikus,Alat jebak tikus - perangkap jepretan tikus praktis grosir,5,,2025-05-30 15:23:04
45316482086,niewey,Sikat botol kawat,Sikat botol kawat morena bulet panjang murah per 1 biji,5,,2025-05-30 15:23:04
45316482084,niewey,1BJ ABC AA BESAR,(1 pcs) baterai battery ABC AA biru batrai jam remot mainan murah dengan harga grosir,5,,2025-05-30 15:23:04
45316482082,niewey,Tempat sabn SOS,Tempat sabun LS + sikat gigi plastik - tempat sabun sos tempel tembok,5,,2025-05-30 15:23:04
45316441885,risarustini,Tempat sendok moly,Tempat sendok alat tulis gandeng moly coklat grosir,5,,2025-05-30 15:19:40
