cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
48583551324,ciceunitaretna841,Kapstok jempol_6,kapstok baju stainless 6 kait - gantungan baju stainless muran,5,,2025-06-14 05:03:06
48583254517,kenzhialfarizi511,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,3,,2025-06-14 05:02:30
48582706837,mukminahbunda,Kursi Onix warna,Kursi jongkok CM Abu-abu warna tebal serbaguna - kursi duduk dapur kokoh,5,,2025-06-14 05:01:28
48581914706,ferifadlii,10bks korek pikul,(10bks) korek batang kayu jadul gambar grosir,5,,2025-06-14 04:59:55
48580029172,q4d1v_guh9,"Tempat kue bulat wkp,Isi 6 pcs",(Isi 6pcs) Tempat kue tutup bulat wkp plastik higinis dan berkualitas,5,,2025-06-14 04:56:08
48578285964,lailatulmasfuffah,Basi segi brokoli,Basi prasmanan segi brokoli capucino plus tutup grosir,5,,2025-06-14 04:52:17
48578285937,lailatulmasfuffah,Basi paprika bulat,Basi bulat prasmanan paprika plus tutup grosir,5,,2025-06-14 04:52:17
48578285913,lailatulmasfuffah,Pisau Cuwo tgg,Pisau dapur cuwo ukuran tanggung baja asli - pisau serbaguna grosir,5,,2025-06-14 04:52:17
48574796377,sofiajaya,1pak cotenbud bunga,(12pak) Cotten bud - cotton bud motif bunga halus dan lembut grosir,5,,2025-06-14 04:46:33
48565476671,vzhiryqq07,12bj T80,(12pcs) Gosok panci stainless cuci piring Merk VA-50 anti karat 18 gram,3,,2025-06-14 04:33:55
48548339192,1ahr4,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,4,,2025-06-14 04:10:39
48548033688,babangphyyal,Kapstok jempol_6,kapstok baju stainless 6 kait - gantungan baju stainless muran,5,,2025-06-14 04:10:12
48492328043,uma_fira,10bjGunting kabel,(1slop) Kartu domino gaplek warna kuning,5,Kualitas:kemasan yg baik. Keaslian:terjamin asli,2025-06-14 02:54:06
48463947053,susiyanisusi206,Termos eknomis 6L,Termos Capucino 6L dan 8L - Rice Ice bucket ekomonis grosir,5,,2025-06-14 02:15:34
48457272857,sarahrahma086,Kitchen set BONITA,Tempat bumbu plastik bonita kitchen set + sendok bisa di tempel dinding,5,,2025-06-14 02:06:42
48453898683,enjangabdularifin,Rak segi Flower,Rak Mini segi susun 3 Flower - Rak bumbu kosmetik serbaguna,5,,2025-06-14 02:02:19
48453898624,enjangabdularifin,Kapstok jempol_6,kapstok baju stainless 6 kait - gantungan baju stainless muran,5,,2025-06-14 02:02:19
48453898565,enjangabdularifin,Tempat sabn SOS,Tempat sabun LS + sikat gigi plastik - tempat sabun sos tempel tembok,5,,2025-06-14 02:02:19
